GPS,PlusPoint,Avail
"36.202125,-114.465035",85876G2M+RX,nope
"36.202125,-114.365035",85876J2M+RX,nope
"36.202125,-114.565035",85876C2M+RX,nope
"36.202125,-114.26503500000001",85876P2M+RX,nope
"36.202125,-114.66503499999999",8587682M+RX,nope
"36.250125000000004,-114.465035",85877G2M+2X,nope
"36.250125000000004,-114.365035",85877J2M+2X,nope
"36.250125000000004,-114.565035",85877C2M+2X,nope
"36.250125000000004,-114.26503500000001",85877P2M+2X,nope
"36.250125000000004,-114.66503499999999",8587782M+2X,nope
"36.154125,-114.465035",85875G3M+JX,nope
"36.154125,-114.365035",85875J3M+JX,nope
"36.154125,-114.565035",85875C3M+JX,nope
"36.154125,-114.26503500000001",85875P3M+JX,nope
"36.154125,-114.66503499999999",8587583M+JX,nope
"36.298125000000006,-114.465035",85877GXM+6X,nope
"36.298125000000006,-114.365035",85877JXM+6X,nope
"36.298125000000006,-114.565035",85877CXM+6X,nope
"36.298125000000006,-114.26503500000001",85877PXM+6X,nope
"36.298125000000006,-114.66503499999999",858778XM+6X,nope
"36.106125,-114.465035",85874G4M+CX,85874G4M+CX
"36.106125,-114.365035",85874J4M+CX,nope
"36.106125,-114.565035",85874C4M+CX,nope
"36.106125,-114.26503500000001",85874P4M+CX,nope
"36.106125,-114.66503499999999",8587484M+CX,nope
"36.34612500000001,-114.465035",85878GWM+FX,nope
"36.34612500000001,-114.365035",85878JWM+FX,nope
"36.34612500000001,-114.565035",85878CWM+FX,nope
"36.34612500000001,-114.26503500000001",85878PWM+FX,nope
"36.34612500000001,-114.66503499999999",858788WM+FX,nope
"36.058125,-114.465035",85873G5M+6X,nope
"36.058125,-114.365035",85873J5M+6X,nope
"36.058125,-114.565035",85873C5M+6X,nope
"36.058125,-114.26503500000001",85873P5M+6X,nope
"36.058125,-114.66503499999999",8587385M+6X,nope
"36.39412500000001,-114.465035",85879GVM+MX,nope
"36.39412500000001,-114.365035",85879JVM+MX,85879JVM+MX
"36.39412500000001,-114.565035",85879CVM+MX,85879CVM+MX
"36.39412500000001,-114.26503500000001",85879PVM+MX,nope
"36.39412500000001,-114.66503499999999",858798VM+MX,nope
"36.010124999999995,-114.465035",85872G6M+2X,nope
"36.010124999999995,-114.365035",85872J6M+2X,nope
"36.010124999999995,-114.565035",85872C6M+2X,nope
"36.010124999999995,-114.26503500000001",85872P6M+2X,nope
"36.010124999999995,-114.66503499999999",8587286M+2X,nope
"36.44212500000001,-114.465035",8587CGRM+VX,nope
"36.44212500000001,-114.365035",8587CJRM+VX,nope
"36.44212500000001,-114.565035",8587CCRM+VX,nope
"36.44212500000001,-114.26503500000001",8587CPRM+VX,nope
"36.44212500000001,-114.66503499999999",8587C8RM+VX,nope
"35.96212499999999,-114.465035",8577XG6M+RX,nope
"35.96212499999999,-114.365035",8577XJ6M+RX,nope
"35.96212499999999,-114.565035",8577XC6M+RX,8577XC6M+RX
"35.96212499999999,-114.26503500000001",8577XP6M+RX,nope
"35.96212499999999,-114.66503499999999",8577X86M+RX,nope
"36.49012500000001,-114.465035",8587FGRM+3X,nope
"36.49012500000001,-114.365035",8587FJRM+3X,nope
"36.49012500000001,-114.565035",8587FCRM+3X,nope
"36.49012500000001,-114.26503500000001",8587FPRM+3X,nope
"36.49012500000001,-114.66503499999999",8587F8RM+3X,nope
"35.91412499999999,-114.465035",8577WG7M+JX,nope
"35.91412499999999,-114.365035",8577WJ7M+JX,nope
"35.91412499999999,-114.565035",8577WC7M+JX,nope
"35.91412499999999,-114.26503500000001",8577WP7M+JX,nope
"35.91412499999999,-114.66503499999999",8577W87M+JX,nope
"36.538125000000015,-114.465035",8587GGQM+7X,nope
"36.538125000000015,-114.365035",8587GJQM+7X,8587GJQM+7X
"36.538125000000015,-114.565035",8587GCQM+7X,nope
"36.538125000000015,-114.26503500000001",8587GPQM+7X,nope
"36.538125000000015,-114.66503499999999",8587G8QM+7X,nope
"35.86612499999999,-114.465035",8577VG8M+CX,8577VG8M+CX
"35.86612499999999,-114.365035",8577VJ8M+CX,nope
"35.86612499999999,-114.565035",8577VC8M+CX,nope
"35.86612499999999,-114.26503500000001",8577VP8M+CX,nope
"35.86612499999999,-114.66503499999999",8577V88M+CX,nope
"36.58612500000002,-114.465035",8587HGPM+FX,nope
"36.58612500000002,-114.365035",8587HJPM+FX,nope
"36.58612500000002,-114.565035",8587HCPM+FX,nope
"36.58612500000002,-114.26503500000001",8587HPPM+FX,nope
"36.58612500000002,-114.66503499999999",8587H8PM+FX,nope
"35.81812499999999,-114.465035",8577RG9M+6X,nope
"35.81812499999999,-114.365035",8577RJ9M+6X,8577RJ9M+6X
"35.81812499999999,-114.565035",8577RC9M+6X,nope
"35.81812499999999,-114.26503500000001",8577RP9M+6X,nope
"35.81812499999999,-114.66503499999999",8577R89M+6X,nope
"36.63412500000002,-114.465035",8587JGMM+MX,nope
"36.63412500000002,-114.365035",8587JJMM+MX,nope
"36.63412500000002,-114.565035",8587JCMM+MX,nope
"36.63412500000002,-114.26503500000001",8587JPMM+MX,nope
"36.63412500000002,-114.66503499999999",8587J8MM+MX,nope
"35.770124999999986,-114.465035",8577QGCM+2X,nope
"35.770124999999986,-114.365035",8577QJCM+2X,nope
"35.770124999999986,-114.565035",8577QCCM+2X,nope
"35.770124999999986,-114.26503500000001",8577QPCM+2X,nope
"35.770124999999986,-114.66503499999999",8577Q8CM+2X,nope
