GPS,PlusPoint
"33.544826,-111.805462",855CG5VV+WR
"33.544826,-111.605462",855CG9VV+WR
"33.544826,-112.00546200000001",8559GXVV+WR
"33.544826,-111.405462",855CGHVV+WR
"33.544826,-112.20546200000001",8559GQVV+WR
"33.544826,-111.205462",855CGQVV+WR
"33.544826,-112.40546200000001",8559GHVV+WR
"33.544826,-111.005462",855CGXVV+WR
"33.544826,-112.60546200000002",8559G9VV+WR
"33.544826,-110.80546199999999",855FG5VV+WR
"33.544826,-112.80546200000002",8559G5VV+WR
"33.544826,-110.60546199999999",855FG9VV+WR
"33.544826,-113.00546200000002",8558GXVV+WR
"33.640826,-111.805462",855CJ5RV+8R
"33.640826,-111.605462",855CJ9RV+8R
"33.640826,-112.00546200000001",8559JXRV+8R
"33.640826,-111.405462",855CJHRV+8R
"33.640826,-112.20546200000001",8559JQRV+8R
"33.640826,-111.205462",855CJQRV+8R
"33.640826,-112.40546200000001",8559JHRV+8R
"33.640826,-111.005462",855CJXRV+8R
"33.640826,-112.60546200000002",8559J9RV+8R
"33.640826,-110.80546199999999",855FJ5RV+8R
"33.640826,-112.80546200000002",8559J5RV+8R
"33.640826,-110.60546199999999",855FJ9RV+8R
"33.640826,-113.00546200000002",8558JXRV+8R
"33.448826000000004,-111.805462",855CC5XV+GR
"33.448826000000004,-111.605462",855CC9XV+GR
"33.448826000000004,-112.00546200000001",8559CXXV+GR
"33.448826000000004,-111.405462",855CCHXV+GR
"33.448826000000004,-112.20546200000001",8559CQXV+GR
"33.448826000000004,-111.205462",855CCQXV+GR
"33.448826000000004,-112.40546200000001",8559CHXV+GR
"33.448826000000004,-111.005462",855CCXXV+GR
"33.448826000000004,-112.60546200000002",8559C9XV+GR
"33.448826000000004,-110.80546199999999",855FC5XV+GR
"33.448826000000004,-112.80546200000002",8559C5XV+GR
"33.448826000000004,-110.60546199999999",855FC9XV+GR
"33.448826000000004,-113.00546200000002",8558CXXV+GR
"33.73682599999999,-111.805462",855CP5PV+PR
"33.73682599999999,-111.605462",855CP9PV+PR
"33.73682599999999,-112.00546200000001",8559PXPV+PR
"33.73682599999999,-111.405462",855CPHPV+PR
"33.73682599999999,-112.20546200000001",8559PQPV+PR
"33.73682599999999,-111.205462",855CPQPV+PR
"33.73682599999999,-112.40546200000001",8559PHPV+PR
"33.73682599999999,-111.005462",855CPXPV+PR
"33.73682599999999,-112.60546200000002",8559P9PV+PR
"33.73682599999999,-110.80546199999999",855FP5PV+PR
"33.73682599999999,-112.80546200000002",8559P5PV+PR
"33.73682599999999,-110.60546199999999",855FP9PV+PR
"33.73682599999999,-113.00546200000002",8558PXPV+PR
"33.35282600000001,-111.805462",855C953V+4R
"33.35282600000001,-111.605462",855C993V+4R
