GPS,PlusPoint,Avail
"34.171378,-118.106927",85635VCV+H6,nope
"34.171378,-117.606927",856459CV+H6,nope
"34.171378,-117.106927",85645VCV+H6,nope
"34.171378,-116.606927",856559CV+H6,nope
"34.171378,-116.106927",85655VCV+H6,nope
"34.171378,-115.606927",856659CV+H6,nope
"34.171378,-115.106927",85665VCV+H6,85665VCV+H6
"34.171378,-114.606927",856759CV+H6,nope
"34.171378,-114.106927",85675VCV+H6,nope
"34.171378,-113.606927",856859CV+H6,nope
"34.171378,-113.106927",85685VCV+H6,nope
"34.171378,-112.606927",856959CV+H6,nope
"34.171378,-112.106927",85695VCV+H6,nope
"34.171378,-111.606927",856C59CV+H6,nope
"34.171378,-111.106927",856C5VCV+H6,nope
"34.171378,-110.606927",856F59CV+H6,nope
"34.171378,-110.106927",856F5VCV+H6,nope
"34.171378,-109.606927",856G59CV+H6,nope
"34.171378,-109.106927",856G5VCV+H6,nope
"34.171378,-108.606927",856H59CV+H6,nope
"34.504377999999996,-118.106927",8563GV3V+Q6,nope
"34.504377999999996,-117.606927",8564G93V+Q6,nope
"34.504377999999996,-117.106927",8564GV3V+Q6,nope
"34.504377999999996,-116.606927",8565G93V+Q6,nope
"34.504377999999996,-116.106927",8565GV3V+Q6,nope
"34.504377999999996,-115.606927",8566G93V+Q6,8566G93V+Q6
"34.504377999999996,-115.106927",8566GV3V+Q6,8566GV3V+Q6
"34.504377999999996,-114.606927",8567G93V+Q6,nope
"34.504377999999996,-114.106927",8567GV3V+Q6,nope
"34.504377999999996,-113.606927",8568G93V+Q6,nope
"34.504377999999996,-113.106927",8568GV3V+Q6,nope
"34.504377999999996,-112.606927",8569G93V+Q6,nope
"34.504377999999996,-112.106927",8569GV3V+Q6,nope
"34.504377999999996,-111.606927",856CG93V+Q6,nope
"34.504377999999996,-111.106927",856CGV3V+Q6,nope
"34.504377999999996,-110.606927",856FG93V+Q6,nope
"34.504377999999996,-110.106927",856FGV3V+Q6,nope
"34.504377999999996,-109.606927",856GG93V+Q6,nope
"34.504377999999996,-109.106927",856GGV3V+Q6,nope
"34.504377999999996,-108.606927",856HG93V+Q6,nope
"34.837377999999994,-118.106927",8563RVPV+X6,nope
"34.837377999999994,-117.606927",8564R9PV+X6,nope
"34.837377999999994,-117.106927",8564RVPV+X6,nope
"34.837377999999994,-116.606927",8565R9PV+X6,nope
"34.837377999999994,-116.106927",8565RVPV+X6,nope
"34.837377999999994,-115.606927",8566R9PV+X6,8566R9PV+X6
"34.837377999999994,-115.106927",8566RVPV+X6,8566RVPV+X6
"34.837377999999994,-114.606927",8567R9PV+X6,nope
"34.837377999999994,-114.106927",8567RVPV+X6,nope
"34.837377999999994,-113.606927",8568R9PV+X6,nope
"34.837377999999994,-113.106927",8568RVPV+X6,nope
"34.837377999999994,-112.606927",8569R9PV+X6,nope
"34.837377999999994,-112.106927",8569RVPV+X6,nope
"34.837377999999994,-111.606927",856CR9PV+X6,nope
"34.837377999999994,-111.106927",856CRVPV+X6,nope
"34.837377999999994,-110.606927",856FR9PV+X6,nope
"34.837377999999994,-110.106927",856FRVPV+X6,nope
"34.837377999999994,-109.606927",856GR9PV+X6,nope
"34.837377999999994,-109.106927",856GRVPV+X6,nope
"34.837377999999994,-108.606927",856HR9PV+X6,nope
"35.17037799999999,-118.106927",85735VCV+56,nope
"35.17037799999999,-117.606927",857459CV+56,nope
"35.17037799999999,-117.106927",85745VCV+56,nope
"35.17037799999999,-116.606927",857559CV+56,nope
"35.17037799999999,-116.106927",85755VCV+56,nope
"35.17037799999999,-115.606927",857659CV+56,nope
"35.17037799999999,-115.106927",85765VCV+56,nope
"35.17037799999999,-114.606927",857759CV+56,nope
"35.17037799999999,-114.106927",85775VCV+56,nope
"35.17037799999999,-113.606927",857859CV+56,nope
"35.17037799999999,-113.106927",85785VCV+56,nope
"35.17037799999999,-112.606927",857959CV+56,nope
"35.17037799999999,-112.106927",85795VCV+56,nope
"35.17037799999999,-111.606927",857C59CV+56,nope
"35.17037799999999,-111.106927",857C5VCV+56,857C5VCV+56
"35.17037799999999,-110.606927",857F59CV+56,857F59CV+56
