,GPS,PlusPoint,Avail
0,"35.233592,-116.677917",857568MC+CR,N
1,"35.233592,-116.177917",85756RMC+CR,Y
2,"35.233592,-115.677917",857668MC+CR,N
3,"35.233592,-115.177917",85766RMC+CR,N
4,"35.233592,-114.677917",857768MC+CR,N
5,"35.233592,-114.177917",85776RMC+CR,N
6,"35.233592,-113.677917",857868MC+CR,N
7,"35.233592,-113.177917",85786RMC+CR,N
8,"35.233592,-112.677917",857968MC+CR,N
9,"35.233592,-112.177917",85796RMC+CR,N
10,"35.566592,-116.677917",8575H88C+JR,Y
11,"35.566592,-116.177917",8575HR8C+JR,Y
12,"35.566592,-115.677917",8576H88C+JR,N
13,"35.566592,-115.177917",8576HR8C+JR,N
14,"35.566592,-114.677917",8577H88C+JR,N
15,"35.566592,-114.177917",8577HR8C+JR,N
16,"35.566592,-113.677917",8578H88C+JR,N
17,"35.566592,-113.177917",8578HR8C+JR,N
18,"35.566592,-112.677917",8579H88C+JR,N
19,"35.566592,-112.177917",8579HR8C+JR,N
20,"35.899592,-116.677917",8575V8XC+RR,Y
21,"35.899592,-116.177917",8575VRXC+RR,N
22,"35.899592,-115.677917",8576V8XC+RR,N
23,"35.899592,-115.177917",8576VRXC+RR,N
24,"35.899592,-114.677917",8577V8XC+RR,N
25,"35.899592,-114.177917",8577VRXC+RR,N
26,"35.899592,-113.677917",8578V8XC+RR,N
27,"35.899592,-113.177917",8578VRXC+RR,N
28,"35.899592,-112.677917",8579V8XC+RR,N
29,"35.899592,-112.177917",8579VRXC+RR,N
30,"36.232592,-116.677917",858568MC+2R,N
31,"36.232592,-116.177917",85856RMC+2R,N
32,"36.232592,-115.677917",858668MC+2R,N
33,"36.232592,-115.177917",85866RMC+2R,N
34,"36.232592,-114.677917",858768MC+2R,N
35,"36.232592,-114.177917",85876RMC+2R,N
36,"36.232592,-113.677917",858868MC+2R,N
37,"36.232592,-113.177917",85886RMC+2R,N
38,"36.232592,-112.677917",858968MC+2R,N
39,"36.232592,-112.177917",85896RMC+2R,N
40,"36.565591999999995,-116.677917",8585H88C+6R,N
41,"36.565591999999995,-116.177917",8585HR8C+6R,N
42,"36.565591999999995,-115.677917",8586H88C+6R,N
43,"36.565591999999995,-115.177917",8586HR8C+6R,N
44,"36.565591999999995,-114.677917",8587H88C+6R,N
45,"36.565591999999995,-114.177917",8587HR8C+6R,N
46,"36.565591999999995,-113.677917",8588H88C+6R,N
47,"36.565591999999995,-113.177917",8588HR8C+6R,N
48,"36.565591999999995,-112.677917",8589H88C+6R,N
49,"36.565591999999995,-112.177917",8589HR8C+6R,N
50,"36.898591999999994,-116.677917",8585V8XC+CR,N
51,"36.898591999999994,-116.177917",8585VRXC+CR,N
52,"36.898591999999994,-115.677917",8586V8XC+CR,N
53,"36.898591999999994,-115.177917",8586VRXC+CR,N
54,"36.898591999999994,-114.677917",8587V8XC+CR,N
55,"36.898591999999994,-114.177917",8587VRXC+CR,N
56,"36.898591999999994,-113.677917",8588V8XC+CR,N
57,"36.898591999999994,-113.177917",8588VRXC+CR,N
58,"36.898591999999994,-112.677917",8589V8XC+CR,N
59,"36.898591999999994,-112.177917",8589VRXC+CR,N
60,"37.23159199999999,-116.677917",859568JC+JR,Y
61,"37.23159199999999,-116.177917",85956RJC+JR,Y
62,"37.23159199999999,-115.677917",859668JC+JR,Y
63,"37.23159199999999,-115.177917",85966RJC+JR,Y
64,"37.23159199999999,-114.677917",859768JC+JR,Y
65,"37.23159199999999,-114.177917",85976RJC+JR,Y
66,"37.23159199999999,-113.677917",859868JC+JR,N
67,"37.23159199999999,-113.177917",85986RJC+JR,N
68,"37.23159199999999,-112.677917",859968JC+JR,N
69,"37.23159199999999,-112.177917",85996RJC+JR,N
70,"37.56459199999999,-116.677917",8595H87C+RR,Y
71,"37.56459199999999,-116.177917",8595HR7C+RR,Y
72,"37.56459199999999,-115.677917",8596H87C+RR,Y
73,"37.56459199999999,-115.177917",8596HR7C+RR,N
74,"37.56459199999999,-114.677917",8597H87C+RR,N
75,"37.56459199999999,-114.177917",8597HR7C+RR,N
76,"37.56459199999999,-113.677917",8598H87C+RR,N
77,"37.56459199999999,-113.177917",8598HR7C+RR,N
78,"37.56459199999999,-112.677917",8599H87C+RR,N
79,"37.56459199999999,-112.177917",8599HR7C+RR,N
80,"37.89759199999999,-116.677917",8595V8XC+2R,Y
81,"37.89759199999999,-116.177917",8595VRXC+2R,Y
82,"37.89759199999999,-115.677917",8596V8XC+2R,Y
83,"37.89759199999999,-115.177917",8596VRXC+2R,Y
84,"37.89759199999999,-114.677917",8597V8XC+2R,N
85,"37.89759199999999,-114.177917",8597VRXC+2R,Y
86,"37.89759199999999,-113.677917",8598V8XC+2R,N
87,"37.89759199999999,-113.177917",8598VRXC+2R,N
88,"37.89759199999999,-112.677917",8599V8XC+2R,N
89,"37.89759199999999,-112.177917",8599VRXC+2R,N
90,"38.23059199999999,-116.677917",85C568JC+6R,Y
91,"38.23059199999999,-116.177917",85C56RJC+6R,N
92,"38.23059199999999,-115.677917",85C668JC+6R,N
93,"38.23059199999999,-115.177917",85C66RJC+6R,N
94,"38.23059199999999,-114.677917",85C768JC+6R,Y
95,"38.23059199999999,-114.177917",85C76RJC+6R,Y
96,"38.23059199999999,-113.677917",85C868JC+6R,N
97,"38.23059199999999,-113.177917",85C86RJC+6R,Y
98,"38.23059199999999,-112.677917",85C968JC+6R,N
99,"38.23059199999999,-112.177917",85C96RJC+6R,N
