GPS,PlusPoint,Avail
"37.001459,-114.05085",85972W2X+HM,85972W2X+HM
"37.001459,-113.85085",8598242X+HM,nope
"37.001459,-114.25085",85972P2X+HM,nope
"37.001459,-113.65084999999999",8598282X+HM,8598282X+HM
"37.001459,-114.45085",85972G2X+HM,85972G2X+HM
"37.09745899999999,-114.05085",85973WWX+XM,nope
"37.09745899999999,-113.85085",859834WX+XM,nope
"37.09745899999999,-114.25085",85973PWX+XM,nope
"37.09745899999999,-113.65084999999999",859838WX+XM,nope
"37.09745899999999,-114.45085",85973GWX+XM,nope
"36.905459,-114.05085",8587WW4X+5M,nope
"36.905459,-113.85085",8588W44X+5M,nope
"36.905459,-114.25085",8587WP4X+5M,nope
"36.905459,-113.65084999999999",8588W84X+5M,nope
"36.905459,-114.45085",8587WG4X+5M,nope
"37.19345899999999,-114.05085",85975WVX+9M,nope
"37.19345899999999,-113.85085",859854VX+9M,nope
"37.19345899999999,-114.25085",85975PVX+9M,85975PVX+9M
"37.19345899999999,-113.65084999999999",859858VX+9M,nope
"37.19345899999999,-114.45085",85975GVX+9M,85975GVX+9M
"36.809459000000004,-114.05085",8587RW5X+QM,nope
"36.809459000000004,-113.85085",8588R45X+QM,nope
"36.809459000000004,-114.25085",8587RP5X+QM,nope
"36.809459000000004,-113.65084999999999",8588R85X+QM,nope
"36.809459000000004,-114.45085",8587RG5X+QM,nope
"37.28945899999999,-114.05085",85977WQX+QM,nope
"37.28945899999999,-113.85085",859874QX+QM,nope
"37.28945899999999,-114.25085",85977PQX+QM,nope
"37.28945899999999,-113.65084999999999",859878QX+QM,nope
"37.28945899999999,-114.45085",85977GQX+QM,nope
"36.71345900000001,-114.05085",8587PW7X+9M,8587PW7X+9M
"36.71345900000001,-113.85085",8588P47X+9M,8588P47X+9M
"36.71345900000001,-114.25085",8587PP7X+9M,8587PP7X+9M
"36.71345900000001,-113.65084999999999",8588P87X+9M,nope
"36.71345900000001,-114.45085",8587PG7X+9M,nope
"37.38545899999998,-114.05085",85979WPX+5M,nope
"37.38545899999998,-113.85085",859894PX+5M,nope
"37.38545899999998,-114.25085",85979PPX+5M,85979PPX+5M
"37.38545899999998,-113.65084999999999",859898PX+5M,nope
"37.38545899999998,-114.45085",85979GPX+5M,nope
"36.61745900000001,-114.05085",8587JW8X+XM,8587JW8X+XM
"36.61745900000001,-113.85085",8588J48X+XM,nope
"36.61745900000001,-114.25085",8587JP8X+XM,nope
"36.61745900000001,-113.65084999999999",8588J88X+XM,nope
"36.61745900000001,-114.45085",8587JG8X+XM,nope
"37.48145899999998,-114.05085",8597FWJX+HM,8597FWJX+HM
"37.48145899999998,-113.85085",8598F4JX+HM,nope
"37.48145899999998,-114.25085",8597FPJX+HM,8597FPJX+HM
"37.48145899999998,-113.65084999999999",8598F8JX+HM,nope
"37.48145899999998,-114.45085",8597FGJX+HM,nope
"36.521459000000014,-114.05085",8587GWCX+HM,nope
"36.521459000000014,-113.85085",8588G4CX+HM,nope
"36.521459000000014,-114.25085",8587GPCX+HM,nope
"36.521459000000014,-113.65084999999999",8588G8CX+HM,nope
"36.521459000000014,-114.45085",8587GGCX+HM,nope
"37.577458999999976,-114.05085",8597HWGX+XM,nope
"37.577458999999976,-113.85085",8598H4GX+XM,8598H4GX+XM
"37.577458999999976,-114.25085",8597HPGX+XM,8597HPGX+XM
"37.577458999999976,-113.65084999999999",8598H8GX+XM,nope
"37.577458999999976,-114.45085",8597HGGX+XM,nope
"36.42545900000002,-114.05085",8587CWGX+5M,nope
"36.42545900000002,-113.85085",8588C4GX+5M,nope
"36.42545900000002,-114.25085",8587CPGX+5M,nope
"36.42545900000002,-113.65084999999999",8588C8GX+5M,nope
"36.42545900000002,-114.45085",8587CGGX+5M,nope
"37.67345899999997,-114.05085",8597MWFX+9M,nope
"37.67345899999997,-113.85085",8598M4FX+9M,nope
"37.67345899999997,-114.25085",8597MPFX+9M,nope
"37.67345899999997,-113.65084999999999",8598M8FX+9M,nope
"37.67345899999997,-114.45085",8597MGFX+9M,nope
"36.32945900000002,-114.05085",85878WHX+QM,nope
"36.32945900000002,-113.85085",858884HX+QM,nope
"36.32945900000002,-114.25085",85878PHX+QM,nope
"36.32945900000002,-113.65084999999999",858888HX+QM,nope
"36.32945900000002,-114.45085",85878GHX+QM,nope
"37.76945899999997,-114.05085",8597QW9X+QM,nope
"37.76945899999997,-113.85085",8598Q49X+QM,nope
"37.76945899999997,-114.25085",8597QP9X+QM,nope
"37.76945899999997,-113.65084999999999",8598Q89X+QM,nope
"37.76945899999997,-114.45085",8597QG9X+QM,nope
"36.233459000000025,-114.05085",85876WMX+9M,nope
"36.233459000000025,-113.85085",858864MX+9M,nope
"36.233459000000025,-114.25085",85876PMX+9M,nope
"36.233459000000025,-113.65084999999999",858868MX+9M,nope
"36.233459000000025,-114.45085",85876GMX+9M,nope
"37.865458999999966,-114.05085",8597VW8X+5M,nope
"37.865458999999966,-113.85085",8598V48X+5M,nope
"37.865458999999966,-114.25085",8597VP8X+5M,nope
"37.865458999999966,-113.65084999999999",8598V88X+5M,nope
"37.865458999999966,-114.45085",8597VG8X+5M,nope
"36.13745900000003,-114.05085",85874WPX+XM,nope
"36.13745900000003,-113.85085",858844PX+XM,nope
"36.13745900000003,-114.25085",85874PPX+XM,nope
"36.13745900000003,-113.65084999999999",858848PX+XM,nope
"36.13745900000003,-114.45085",85874GPX+XM,nope
