GPS,PlusPoint,Avail
"37.000504,-114.05088",85972W2X+6J,Y
"37.000504,-113.55088",85982C2X+6J,N  
"37.000504,-113.05088",85982W2X+6J,N  
"37.000504,-112.55088",85992C2X+6J,Y
"37.000504,-112.05088",85992W2X+6J,N  
"37.000504,-111.55088",859C2C2X+6J,N  
"37.000504,-111.05088",859C2W2X+6J,N  
"37.000504,-110.55088",859F2C2X+6J,N  
"37.000504,-110.05088",859F2W2X+6J,N  
"37.000504,-109.55088",859G2C2X+6J,Y
"37.000504,-109.05088",859G2W2X+6J,N  
"37.000504,-108.55088",859H2C2X+6J,N  
"37.000504,-108.05088",859H2W2X+6J,N  
"37.000504,-107.55088",859J2C2X+6J,N  
"37.000504,-107.05088",859J2W2X+6J,N  
"37.000504,-106.55088",859M2C2X+6J,N  
"37.000504,-106.05088",859M2W2X+6J,N  
"37.000504,-105.55088",859P2C2X+6J,N  
"37.000504,-105.05088",859P2W2X+6J,N  
"37.000504,-104.55088",859Q2C2X+6J,N  
"37.333504,-114.05088",85978WMX+CJ,Y
"37.333504,-113.55088",85988CMX+CJ,N  
"37.333504,-113.05088",85988WMX+CJ,N  
"37.333504,-112.55088",85998CMX+CJ,N  
"37.333504,-112.05088",85998WMX+CJ,N  
"37.333504,-111.55088",859C8CMX+CJ,Y
"37.333504,-111.05088",859C8WMX+CJ,N  
"37.333504,-110.55088",859F8CMX+CJ,N  
"37.333504,-110.05088",859F8WMX+CJ,N  
"37.333504,-109.55088",859G8CMX+CJ,Y
"37.333504,-109.05088",859G8WMX+CJ,N  
"37.333504,-108.55088",859H8CMX+CJ,N  
"37.333504,-108.05088",859H8WMX+CJ,N  
"37.333504,-107.55088",859J8CMX+CJ,N  
"37.333504,-107.05088",859J8WMX+CJ,N  
"37.333504,-106.55088",859M8CMX+CJ,N  
"37.333504,-106.05088",859M8WMX+CJ,N  
"37.333504,-105.55088",859P8CMX+CJ,N  
"37.333504,-105.05088",859P8WMX+CJ,N  
"37.333504,-104.55088",859Q8CMX+CJ,N  
"37.666503999999996,-114.05088",8597MW8X+JJ,N  
"37.666503999999996,-113.55088",8598MC8X+JJ,N  
"37.666503999999996,-113.05088",8598MW8X+JJ,N  
"37.666503999999996,-112.55088",8599MC8X+JJ,N  
"37.666503999999996,-112.05088",8599MW8X+JJ,N  
"37.666503999999996,-111.55088",859CMC8X+JJ,Y
"37.666503999999996,-111.05088",859CMW8X+JJ,Y
"37.666503999999996,-110.55088",859FMC8X+JJ,N  
"37.666503999999996,-110.05088",859FMW8X+JJ,N  
"37.666503999999996,-109.55088",859GMC8X+JJ,N  
"37.666503999999996,-109.05088",859GMW8X+JJ,N  
"37.666503999999996,-108.55088",859HMC8X+JJ,N  
"37.666503999999996,-108.05088",859HMW8X+JJ,N  
"37.666503999999996,-107.55088",859JMC8X+JJ,N  
"37.666503999999996,-107.05088",859JMW8X+JJ,N  
"37.666503999999996,-106.55088",859MMC8X+JJ,N  
"37.666503999999996,-106.05088",859MMW8X+JJ,N  
"37.666503999999996,-105.55088",859PMC8X+JJ,N  
"37.666503999999996,-105.05088",859PMW8X+JJ,N  
"37.666503999999996,-104.55088",859QMC8X+JJ,N  
"37.999503999999995,-114.05088",8597XWXX+RJ,Y
"37.999503999999995,-113.55088",8598XCXX+RJ,Y
"37.999503999999995,-113.05088",8598XWXX+RJ,N  
"37.999503999999995,-112.55088",8599XCXX+RJ,N  
"37.999503999999995,-112.05088",8599XWXX+RJ,N  
"37.999503999999995,-111.55088",859CXCXX+RJ,N  
"37.999503999999995,-111.05088",859CXWXX+RJ,Y
"37.999503999999995,-110.55088",859FXCXX+RJ,N  
"37.999503999999995,-110.05088",859FXWXX+RJ,N  
"37.999503999999995,-109.55088",859GXCXX+RJ,N  
"37.999503999999995,-109.05088",859GXWXX+RJ,N  
"37.999503999999995,-108.55088",859HXCXX+RJ,N  
"37.999503999999995,-108.05088",859HXWXX+RJ,N  
"37.999503999999995,-107.55088",859JXCXX+RJ,N  
"37.999503999999995,-107.05088",859JXWXX+RJ,N  
"37.999503999999995,-106.55088",859MXCXX+RJ,N  
"37.999503999999995,-106.05088",859MXWXX+RJ,N  
"37.999503999999995,-105.55088",859PXCXX+RJ,N  
"37.999503999999995,-105.05088",859PXWXX+RJ,N  
"37.999503999999995,-104.55088",859QXCXX+RJ,N  
"38.33250399999999,-114.05088",85C78WMX+2J,N  
"38.33250399999999,-113.55088",85C88CMX+2J,N  
"38.33250399999999,-113.05088",85C88WMX+2J,N  
"38.33250399999999,-112.55088",85C98CMX+2J,N  
"38.33250399999999,-112.05088",85C98WMX+2J,N  
"38.33250399999999,-111.55088",85CC8CMX+2J,N  
"38.33250399999999,-111.05088",85CC8WMX+2J,N  
"38.33250399999999,-110.55088",85CF8CMX+2J,Y
"38.33250399999999,-110.05088",85CF8WMX+2J,Y
"38.33250399999999,-109.55088",85CG8CMX+2J,N  
"38.33250399999999,-109.05088",85CG8WMX+2J,N  
"38.33250399999999,-108.55088",85CH8CMX+2J,N  
