,Unnamed: 0,Unnamed: 0.1,GPS,PlusPoint,Avail
0,0,0,"37.000504,-114.05088",85972W2X+6J,FAILED
1,1,1,"37.000504,-113.55088",85982C2X+6J,FAILED
2,2,2,"37.000504,-113.05088",85982W2X+6J,N
3,3,3,"37.000504,-112.55088",85992C2X+6J,Y
4,4,4,"37.000504,-112.05088",85992W2X+6J,N
5,5,5,"37.000504,-111.55088",859C2C2X+6J,N
6,6,6,"37.000504,-111.05088",859C2W2X+6J,N
7,7,7,"37.000504,-110.55088",859F2C2X+6J,N
8,8,8,"37.000504,-110.05088",859F2W2X+6J,N
9,9,9,"37.000504,-109.55088",859G2C2X+6J,Y
10,10,10,"37.000504,-109.05088",859G2W2X+6J,N
11,11,11,"37.000504,-108.55088",859H2C2X+6J,N
12,12,12,"37.000504,-108.05088",859H2W2X+6J,N
13,13,13,"37.000504,-107.55088",859J2C2X+6J,N
14,14,14,"37.000504,-107.05088",859J2W2X+6J,N
15,15,15,"37.000504,-106.55088",859M2C2X+6J,N
16,16,16,"37.000504,-106.05088",859M2W2X+6J,N
17,17,17,"37.000504,-105.55088",859P2C2X+6J,N
18,18,18,"37.000504,-105.05088",859P2W2X+6J,N
19,19,19,"37.000504,-104.55088",859Q2C2X+6J,N
20,20,20,"37.333504,-114.05088",85978WMX+CJ,Y
21,21,21,"37.333504,-113.55088",85988CMX+CJ,N
22,22,22,"37.333504,-113.05088",85988WMX+CJ,N
23,23,23,"37.333504,-112.55088",85998CMX+CJ,N
24,24,24,"37.333504,-112.05088",85998WMX+CJ,N
25,25,25,"37.333504,-111.55088",859C8CMX+CJ,Y
26,26,26,"37.333504,-111.05088",859C8WMX+CJ,N
27,27,27,"37.333504,-110.55088",859F8CMX+CJ,N
28,28,28,"37.333504,-110.05088",859F8WMX+CJ,N
29,29,29,"37.333504,-109.55088",859G8CMX+CJ,Y
30,30,30,"37.333504,-109.05088",859G8WMX+CJ,N
31,31,31,"37.333504,-108.55088",859H8CMX+CJ,N
32,32,32,"37.333504,-108.05088",859H8WMX+CJ,N
33,33,33,"37.333504,-107.55088",859J8CMX+CJ,N
34,34,34,"37.333504,-107.05088",859J8WMX+CJ,N
35,35,35,"37.333504,-106.55088",859M8CMX+CJ,N
36,36,36,"37.333504,-106.05088",859M8WMX+CJ,N
37,37,37,"37.333504,-105.55088",859P8CMX+CJ,N
38,38,38,"37.333504,-105.05088",859P8WMX+CJ,N
39,39,39,"37.333504,-104.55088",859Q8CMX+CJ,N
40,40,40,"37.666503999999996,-114.05088",8597MW8X+JJ,N
41,41,41,"37.666503999999996,-113.55088",8598MC8X+JJ,N
42,42,42,"37.666503999999996,-113.05088",8598MW8X+JJ,N
43,43,43,"37.666503999999996,-112.55088",8599MC8X+JJ,N
44,44,44,"37.666503999999996,-112.05088",8599MW8X+JJ,N
45,45,45,"37.666503999999996,-111.55088",859CMC8X+JJ,Y
46,46,46,"37.666503999999996,-111.05088",859CMW8X+JJ,Y
47,47,47,"37.666503999999996,-110.55088",859FMC8X+JJ,N
48,48,48,"37.666503999999996,-110.05088",859FMW8X+JJ,N
49,49,49,"37.666503999999996,-109.55088",859GMC8X+JJ,N
50,50,50,"37.666503999999996,-109.05088",859GMW8X+JJ,N
51,51,51,"37.666503999999996,-108.55088",859HMC8X+JJ,N
52,52,52,"37.666503999999996,-108.05088",859HMW8X+JJ,N
53,53,53,"37.666503999999996,-107.55088",859JMC8X+JJ,N
54,54,54,"37.666503999999996,-107.05088",859JMW8X+JJ,N
55,55,55,"37.666503999999996,-106.55088",859MMC8X+JJ,N
56,56,56,"37.666503999999996,-106.05088",859MMW8X+JJ,Y
57,57,57,"37.666503999999996,-105.55088",859PMC8X+JJ,N
58,58,58,"37.666503999999996,-105.05088",859PMW8X+JJ,N
59,59,59,"37.666503999999996,-104.55088",859QMC8X+JJ,N
60,60,60,"37.999503999999995,-114.05088",8597XWXX+RJ,Y
61,61,61,"37.999503999999995,-113.55088",8598XCXX+RJ,Y
62,62,62,"37.999503999999995,-113.05088",8598XWXX+RJ,N
63,63,63,"37.999503999999995,-112.55088",8599XCXX+RJ,N
64,64,64,"37.999503999999995,-112.05088",8599XWXX+RJ,N
65,65,65,"37.999503999999995,-111.55088",859CXCXX+RJ,N
66,66,66,"37.999503999999995,-111.05088",859CXWXX+RJ,Y
67,67,67,"37.999503999999995,-110.55088",859FXCXX+RJ,N
68,68,68,"37.999503999999995,-110.05088",859FXWXX+RJ,N
69,69,69,"37.999503999999995,-109.55088",859GXCXX+RJ,N
70,70,70,"37.999503999999995,-109.05088",859GXWXX+RJ,N
71,71,71,"37.999503999999995,-108.55088",859HXCXX+RJ,N
72,72,72,"37.999503999999995,-108.05088",859HXWXX+RJ,N
73,73,73,"37.999503999999995,-107.55088",859JXCXX+RJ,N
74,74,74,"37.999503999999995,-107.05088",859JXWXX+RJ,N
75,75,75,"37.999503999999995,-106.55088",859MXCXX+RJ,N
76,76,76,"37.999503999999995,-106.05088",859MXWXX+RJ,N
77,77,77,"37.999503999999995,-105.55088",859PXCXX+RJ,N
78,78,78,"37.999503999999995,-105.05088",859PXWXX+RJ,N
79,79,79,"37.999503999999995,-104.55088",859QXCXX+RJ,N
80,80,80,"38.33250399999999,-114.05088",85C78WMX+2J,N
81,81,81,"38.33250399999999,-113.55088",85C88CMX+2J,N
82,82,82,"38.33250399999999,-113.05088",85C88WMX+2J,N
83,83,83,"38.33250399999999,-112.55088",85C98CMX+2J,N
84,84,84,"38.33250399999999,-112.05088",85C98WMX+2J,N
85,85,85,"38.33250399999999,-111.55088",85CC8CMX+2J,N
86,86,86,"38.33250399999999,-111.05088",85CC8WMX+2J,N
87,87,87,"38.33250399999999,-110.55088",85CF8CMX+2J,Y
88,88,88,"38.33250399999999,-110.05088",85CF8WMX+2J,Y
89,89,89,"38.33250399999999,-109.55088",85CG8CMX+2J,N
90,90,90,"38.33250399999999,-109.05088",85CG8WMX+2J,N
91,91,91,"38.33250399999999,-108.55088",85CH8CMX+2J,N
92,92,92,"38.33250399999999,-108.05088",85CH8WMX+2J,N
93,93,93,"38.33250399999999,-107.55088",85CJ8CMX+2J,N
94,94,94,"38.33250399999999,-107.05088",85CJ8WMX+2J,N
95,95,95,"38.33250399999999,-106.55088",85CM8CMX+2J,N
96,96,96,"38.33250399999999,-106.05088",85CM8WMX+2J,N
97,97,97,"38.33250399999999,-105.55088",85CP8CMX+2J,N
98,98,98,"38.33250399999999,-105.05088",85CP8WMX+2J,N
99,99,99,"38.33250399999999,-104.55088",85CQ8CMX+2J,N
100,100,100,"38.66550399999999,-114.05088",85C7MW8X+6J,Y
101,101,101,"38.66550399999999,-113.55088",85C8MC8X+6J,Y
102,102,102,"38.66550399999999,-113.05088",85C8MW8X+6J,Y
103,103,103,"38.66550399999999,-112.55088",85C9MC8X+6J,N
104,104,104,"38.66550399999999,-112.05088",85C9MW8X+6J,Y
105,105,105,"38.66550399999999,-111.55088",85CCMC8X+6J,N
106,106,106,"38.66550399999999,-111.05088",85CCMW8X+6J,Y
107,107,107,"38.66550399999999,-110.55088",85CFMC8X+6J,Y
108,108,108,"38.66550399999999,-110.05088",85CFMW8X+6J,N
109,109,109,"38.66550399999999,-109.55088",85CGMC8X+6J,N
110,110,110,"38.66550399999999,-109.05088",85CGMW8X+6J,N
111,111,111,"38.66550399999999,-108.55088",85CHMC8X+6J,N
112,112,112,"38.66550399999999,-108.05088",85CHMW8X+6J,N
113,113,113,"38.66550399999999,-107.55088",85CJMC8X+6J,N
114,114,114,"38.66550399999999,-107.05088",85CJMW8X+6J,N
115,115,115,"38.66550399999999,-106.55088",85CMMC8X+6J,N
116,116,116,"38.66550399999999,-106.05088",85CMMW8X+6J,N
117,117,117,"38.66550399999999,-105.55088",85CPMC8X+6J,N
118,118,118,"38.66550399999999,-105.05088",85CPMW8X+6J,N
119,119,119,"38.66550399999999,-104.55088",85CQMC8X+6J,N
120,120,120,"38.99850399999999,-114.05088",85C7XWXX+CJ,N
121,121,121,"38.99850399999999,-113.55088",85C8XCXX+CJ,Y
122,122,122,"38.99850399999999,-113.05088",85C8XWXX+CJ,Y
123,123,123,"38.99850399999999,-112.55088",85C9XCXX+CJ,N
124,124,124,"38.99850399999999,-112.05088",85C9XWXX+CJ,N
125,125,125,"38.99850399999999,-111.55088",85CCXCXX+CJ,N
126,126,126,"38.99850399999999,-111.05088",85CCXWXX+CJ,N
127,127,127,"38.99850399999999,-110.55088",85CFXCXX+CJ,Y
128,128,128,"38.99850399999999,-110.05088",85CFXWXX+CJ,Y
129,129,129,"38.99850399999999,-109.55088",85CGXCXX+CJ,N
130,130,130,"38.99850399999999,-109.05088",85CGXWXX+CJ,N
131,131,131,"38.99850399999999,-108.55088",85CHXCXX+CJ,N
132,132,132,"38.99850399999999,-108.05088",85CHXWXX+CJ,N
133,133,133,"38.99850399999999,-107.55088",85CJXCXX+CJ,N
134,134,134,"38.99850399999999,-107.05088",85CJXWXX+CJ,N
135,135,135,"38.99850399999999,-106.55088",85CMXCXX+CJ,N
136,136,136,"38.99850399999999,-106.05088",85CMXWXX+CJ,N
137,137,137,"38.99850399999999,-105.55088",85CPXCXX+CJ,N
138,138,138,"38.99850399999999,-105.05088",85CPXWXX+CJ,Y
139,139,139,"38.99850399999999,-104.55088",85CQXCXX+CJ,N
140,140,140,"39.33150399999999,-114.05088",85F78WJX+JJ,N
141,141,141,"39.33150399999999,-113.55088",85F88CJX+JJ,Y
142,142,142,"39.33150399999999,-113.05088",85F88WJX+JJ,Y
143,143,143,"39.33150399999999,-112.55088",85F98CJX+JJ,N
144,144,144,"39.33150399999999,-112.05088",85F98WJX+JJ,N
145,145,145,"39.33150399999999,-111.55088",85FC8CJX+JJ,N
146,146,146,"39.33150399999999,-111.05088",85FC8WJX+JJ,N
147,147,147,"39.33150399999999,-110.55088",85FF8CJX+JJ,Y
